size,n_neurons,n_patterns,stored_labels,noise_level,noise_percent,repetitions,correct,total_trials,accuracy,mean_noisy_similarity,mean_recovered_similarity,std_recovered_similarity
10,100,8,ABCDEFGH,0.05,5,10,0,80,0.0,0.95,0.90625,0.048717938174762686
10,100,8,ABCDEFGH,0.1,10,10,0,80,0.0,0.9000000000000001,0.90625,0.048717938174762686
10,100,8,ABCDEFGH,0.15,15,10,0,80,0.0,0.8499999999999999,0.90625,0.048717938174762686
10,100,9,ABCDEFGHI,0.05,5,10,0,90,0.0,0.95,0.9011111111111111,0.04817662975261954
10,100,9,ABCDEFGHI,0.1,10,10,0,90,0.0,0.9000000000000004,0.9011111111111111,0.04817662975261954
10,100,9,ABCDEFGHI,0.15,15,10,0,90,0.0,0.8499999999999996,0.9011111111111111,0.04817662975261954
10,100,10,ABCDEFGHIJ,0.05,5,10,10,100,0.1,0.95,0.8919999999999999,0.06029925372672533
10,100,10,ABCDEFGHIJ,0.1,10,10,10,100,0.1,0.9000000000000005,0.8919999999999999,0.06029925372672533
10,100,10,ABCDEFGHIJ,0.15,15,10,10,100,0.1,0.8499999999999995,0.8919999999999999,0.06029925372672533
10,100,11,ABCDEFGHIJK,0.05,5,10,0,110,0.0,0.95,0.8927272727272726,0.04091919067246144
10,100,11,ABCDEFGHIJK,0.1,10,10,0,110,0.0,0.9000000000000005,0.8927272727272726,0.04091919067246144
10,100,11,ABCDEFGHIJK,0.15,15,10,0,110,0.0,0.8499999999999995,0.8927272727272726,0.04091919067246144
10,100,12,ABCDEFGHIJKL,0.05,5,10,10,120,0.08333333333333333,0.9499999999999997,0.8949999999999999,0.05909032633745277
10,100,12,ABCDEFGHIJKL,0.1,10,10,10,120,0.08333333333333333,0.9000000000000002,0.8949999999999999,0.05909032633745277
10,100,12,ABCDEFGHIJKL,0.15,15,10,10,120,0.08333333333333333,0.8499999999999998,0.8949999999999999,0.05909032633745277
10,100,13,ABCDEFGHIJKLM,0.05,5,10,10,130,0.07692307692307693,0.9500000000000001,0.8838461538461538,0.06867296652512504
10,100,13,ABCDEFGHIJKLM,0.1,10,10,10,130,0.07692307692307693,0.9000000000000001,0.8838461538461538,0.06867296652512504
10,100,13,ABCDEFGHIJKLM,0.15,15,10,10,130,0.07692307692307693,0.8499999999999999,0.8838461538461538,0.06867296652512504
10,100,14,ABCDEFGHIJKLMN,0.05,5,10,0,140,0.0,0.9500000000000002,0.8807142857142856,0.05775122580199187
10,100,14,ABCDEFGHIJKLMN,0.1,10,10,0,140,0.0,0.9000000000000004,0.8807142857142856,0.05775122580199187
10,100,14,ABCDEFGHIJKLMN,0.15,15,10,0,140,0.0,0.8499999999999999,0.8807142857142856,0.05775122580199187
10,100,15,ABCDEFGHIJKLMNO,0.05,5,10,0,150,0.0,0.9500000000000002,0.8786666666666667,0.05584104424365847
10,100,15,ABCDEFGHIJKLMNO,0.1,10,10,0,150,0.0,0.9000000000000004,0.8786666666666667,0.05584104424365847
10,100,15,ABCDEFGHIJKLMNO,0.15,15,10,0,150,0.0,0.8499999999999998,0.8786666666666667,0.05584104424365847
10,100,16,ABCDEFGHIJKLMNOP,0.05,5,10,0,160,0.0,0.95,0.8806249999999999,0.056177036011167414
10,100,16,ABCDEFGHIJKLMNOP,0.1,10,10,0,160,0.0,0.9000000000000001,0.8806249999999999,0.056177036011167414
10,100,16,ABCDEFGHIJKLMNOP,0.15,15,10,0,160,0.0,0.8499999999999999,0.8806249999999999,0.056177036011167414
10,100,17,ABCDEFGHIJKLMNOPQ,0.05,5,10,0,170,0.0,0.95,0.8794117647058823,0.05351971470020833
10,100,17,ABCDEFGHIJKLMNOPQ,0.1,10,10,0,170,0.0,0.9000000000000004,0.8794117647058823,0.05351971470020833
10,100,17,ABCDEFGHIJKLMNOPQ,0.15,15,10,0,170,0.0,0.8499999999999996,0.8794117647058823,0.05351971470020833
10,100,18,ABCDEFGHIJKLMNOPQR,0.05,5,10,0,180,0.0,0.95,0.882777777777778,0.04793578523580105
10,100,18,ABCDEFGHIJKLMNOPQR,0.1,10,10,0,180,0.0,0.9000000000000004,0.882777777777778,0.04793578523580105
10,100,18,ABCDEFGHIJKLMNOPQR,0.15,15,10,0,180,0.0,0.8499999999999996,0.882777777777778,0.04793578523580105
10,100,19,ABCDEFGHIJKLMNOPQRS,0.05,5,10,0,190,0.0,0.95,0.8863157894736841,0.04814567000433377
10,100,19,ABCDEFGHIJKLMNOPQRS,0.1,10,10,0,190,0.0,0.9000000000000002,0.8863157894736841,0.04814567000433377
10,100,19,ABCDEFGHIJKLMNOPQRS,0.15,15,10,0,190,0.0,0.8499999999999998,0.8863157894736841,0.04814567000433377
10,100,20,ABCDEFGHIJKLMNOPQRST,0.05,5,10,0,200,0.0,0.9499999999999998,0.8844999999999998,0.048731406710662485
10,100,20,ABCDEFGHIJKLMNOPQRST,0.1,10,10,0,200,0.0,0.9000000000000002,0.8844999999999998,0.048731406710662485
10,100,20,ABCDEFGHIJKLMNOPQRST,0.15,15,10,0,200,0.0,0.8499999999999998,0.8844999999999998,0.048731406710662485
10,100,21,ABCDEFGHIJKLMNOPQRSTU,0.05,5,10,0,210,0.0,0.9499999999999998,0.8866666666666666,0.04744252997884547
10,100,21,ABCDEFGHIJKLMNOPQRSTU,0.1,10,10,0,210,0.0,0.9000000000000002,0.8866666666666666,0.04744252997884547
10,100,21,ABCDEFGHIJKLMNOPQRSTU,0.15,15,10,0,210,0.0,0.8499999999999998,0.8866666666666666,0.04744252997884547
10,100,22,ABCDEFGHIJKLMNOPQRSTUV,0.05,5,10,0,220,0.0,0.9499999999999998,0.8854545454545454,0.04755162483862554
10,100,22,ABCDEFGHIJKLMNOPQRSTUV,0.1,10,10,0,220,0.0,0.9000000000000002,0.8854545454545454,0.04755162483862554
10,100,22,ABCDEFGHIJKLMNOPQRSTUV,0.15,15,10,0,220,0.0,0.8499999999999998,0.8854545454545454,0.04755162483862554
10,100,23,ABCDEFGHIJKLMNOPQRSTUVW,0.05,5,10,0,230,0.0,0.9499999999999998,0.8786956521739131,0.055584197615641345
10,100,23,ABCDEFGHIJKLMNOPQRSTUVW,0.1,10,10,0,230,0.0,0.9000000000000004,0.8786956521739131,0.055584197615641345
10,100,23,ABCDEFGHIJKLMNOPQRSTUVW,0.15,15,10,0,230,0.0,0.8499999999999996,0.8786956521739131,0.055584197615641345
10,100,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.05,5,10,0,240,0.0,0.9499999999999997,0.8787499999999999,0.05441449714919729
10,100,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.1,10,10,0,240,0.0,0.9000000000000002,0.8787499999999999,0.05441449714919729
10,100,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.15,15,10,0,240,0.0,0.8499999999999998,0.8787499999999999,0.05441449714919729
10,100,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.05,5,10,0,250,0.0,0.95,0.878,0.05344155686354955
10,100,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.1,10,10,0,250,0.0,0.9000000000000002,0.878,0.05344155686354955
10,100,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.15,15,10,0,250,0.0,0.8499999999999998,0.878,0.05344155686354955
10,100,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.05,5,10,0,260,0.0,0.9499999999999998,0.8788461538461538,0.0525742641835135
10,100,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.1,10,10,0,260,0.0,0.9000000000000002,0.8788461538461538,0.0525742641835135
10,100,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.15,15,10,0,260,0.0,0.8499999999999998,0.8788461538461538,0.0525742641835135
15,225,1,A,0.05,5,10,10,10,1.0,0.9511111111111111,1.0,0.0
15,225,1,A,0.1,10,10,10,10,1.0,0.9022222222222224,1.0,0.0
15,225,1,A,0.15,15,10,10,10,1.0,0.8488888888888889,1.0,0.0
15,225,2,AB,0.05,5,10,20,20,1.0,0.9511111111111111,1.0,0.0
15,225,2,AB,0.1,10,10,20,20,1.0,0.9022222222222223,1.0,0.0
15,225,2,AB,0.15,15,10,20,20,1.0,0.8488888888888889,1.0,0.0
15,225,3,ABC,0.05,5,10,0,30,0.0,0.951111111111111,0.9303703703703706,0.029106492895390378
